course_id,year,thread_id,thread_no,title,question,category,subcategory,subsubcategory,created_at,is_answered,answer,answer_user_id,answer_created,answer_vote_count,work_score,indicators,week_number,exercise_number,problem_statement,problem_solution,new_problem,new_solution
43,2022,4899,279,ex 1,"The translation of : 

""Let ∼ be the relation on R × R defined by (a, b) ∼ (c, d) if and only if a + d = b + c"" is:

$$\sim=\left\{\left(a,b\right)\epsilon\ R\cdot R,\ \left(c,d\right)\epsilon\ R\cdot R\ /\ a+d=b+c\right\}?$$

If it is, will the set of the relation look like this : { ((1,2),(3,4)) , ((1,1),(2,2)), ...} ? 

(values are juste examples, I haven't done the exercise yet.)",Exercises,Week5 : Relations - Sequences,,2022-10-21T04:47:00.442904+11:00,TRUE,"Yes, keep in mind its not necessarily integers though, ((1,3; 4,4),(2,3; 5,4)) is also i. The relation",92875,2022-10-21T05:16:28.09221+11:00,2,2,Mathematical definition,5,1,"Let ∼be the relation on R × R defined by (a, b) ∼(c, d) if and only if a + d = b + c.
1. Prove that it is an equivalence relation.
Define the function f : R × R →R by f(a, b) = a −b. Then, for any two pairs p, q ∈R × R, we
have p ∼q if and only if f(p) = f(q). It is then easy to see that the relation is reflexive (because
f(p) = f(p)), symmetric (because f(p) = f(q) implies f(q) = f(p)), and transitive (because
f(p) = f(q) and f(q) = f(r) implies f(p) = f(r)).","2. Prove that the set of equivalence classes of ∼is uncountable.
Let Q be the partition of R×R induced by the relation ∼(i.e., Q is the set of equivalence classes).
We define a function F : Q →R as follows: for any equivalence class C ∈Q, choose p ∈C and let
F(C) = f(p). This function is well defined because if q ∈C is an other element of the class then
f(q) = f(p). In other words,
F : Q −→R : C 7−→f(p) for any p ∈C.
It is surjective: for any x ∈R, let C be the class of (x, 0), then F(C) = f(x, 0) = x. It is injective:
if F(C) = F(D) for C, D ∈Q, then for any pairs p ∈C and q ∈D we have f(p) = f(q). Then
p ∼q, and therefore p and q must be in the same equivalence class, hence C = D. So F is a
bijection. Since R is uncountable, Q is also uncountable.",,
43,2022,12342,630,Ex8,"Hi, im trying to do that exercice but im not sure about my reasoning.



I must calculare nb of connections in a groupe of 10 computers + nb of the 5 remaining computer. Then i have 10! + 5! but its wrong. Im quite lost about how should i do that. I tried to draw injectives fonctions but im not sure that it ll work.",Exercises,Week 10 : Counting,,2022-12-04T20:13:33.590388+11:00,TRUE,"You know that if theres a printer connected to only 5 computers for example, then there exists a group of 10 computers that aren't connected to it at all and therefore have to work with the remaining 9 which is not possible. You therefore know there's at least 6 per printer, so 60.

You also know that if you take connect 10 computers with 10 printers, and connect the remaining 5 with every printer, then you can find a solution for any group of computers. The reasoning is that if you have any of the 10 single connection computers, you can just have them use their assigned printer, while if you have any of the other 5, they can fill in anywhere anyways.",92875,2022-12-04T23:34:38.989074+11:00,1,6,English: my + work; English: I + action,10,8,"Find the least number of cables required to connect 15 computers to 10 printers to guarantee
that any group of 10 computers can always directly access 10 different printers simultaneously","Suppose that we label the computers C1, C2, ..., C15 and the printers P1, P2, ..., P10. Suppose further
that we connect Ck to Pk for k = 1, 2, . . . , 10 and each of the remaining 5 computers to all 10 printers.
This requires a total of 60 cables. Clearly any set of 10 or less computers can simultaneously access
different printers. This is because if computer Cj such that 1 ≤j ≤10 is included then it can access
printer Pj, and for each included Ck with k ≥11, there must be a corresponding computer Cj such that
1 ≤j ≤10 that is not included so Ck can access Pj.
Now, suppose there are fewer than 60 cables connecting the computers to the printers. Then, at least
one printer would be connected to at most ⌊59/10⌋= 5 computers. (If all printers were connected to at
least 6 computers, there would be at least 6 × 10 = 60 cables.) This means that the remaining 9 printers
are not enough to allow the other 10 computers to simultaneously access different printers. Hence, at
least 60 direct connections are needed.
6", In an IT firm each software developer can be in touch(connected) with multiple clients however can only assist one client at a time. Find the least number of client-software developer connections between 27 clients and 18 software developers to guarantee that any group of 18 clients can always be assisted by the 18 different software developers simultaneously.,"Problem Solution:
This requires a total of at least 180 connections.
C1 - C9 : all 18 printers
C_(9+i): connected only to the Software Developer i

Now if there are fewer than 180 connections, then at least one one software developer would be connected to at most 9 clients, so we can choose 18 clients that are not connected to him so he won t be able to assist any of them, meaning the remaining 17 software developers are not enough to assist these clients simultaneously."
43,2022,4886,273,Set 5 Exercise 3,I do not understand what the exercise is asking for and how we are supposed to solve it.,Exercises,Week5 : Relations - Sequences,,2022-10-21T03:35:12.954542+11:00,TRUE,"First of all, may I suggest for the next question you ask to join a picture of the exercise, or the assignment in its entirety? It would save the person that answers some time to search for themselves, thanks in advance :)

Next, about your question, what is asked for you to do is ""Show that (S x T, ⪯) is a poset"".

The rest of the exercise description is to describe exactly what are S x T and ⪯

In order to show this, you need to think about what a poset is, and what are the required properties in order to call a set and a relation together a poset. Here is the definition (source, page 52) :

You need to prove that (S x T, ⪯) has those required properties, so it can be considered a poset.

In general, think about assignments that go ""Show that [a] is [b]"" as ""Show that [a] that has the required properties to be called [b]""

Hope it helps !",899590,2022-10-21T06:52:58.682177+11:00,0,2,Mathematical assumption,5,3,"Suppose that (S, ⪯1) and (T, ⪯2) are posets. Show that (S×T, ⪯) is a poset where (s, t) ⪯(u, v)
if and only if s ⪯1 u and t ⪯2 v.
A relation R on a set A is a partial ordering if the relation R is reflexive, antisymmetric, and transi-
tive. (S, R) is then called a poset.
PROOF (S × T, ⪯) is a poset if and only if the relation R = {((s, t), (u, v))|(s, t) ⪯(u, v)} is a par-
tial ordering.
(S, ⪯1) and (T, ⪯2) are posets, thus the relations R1 = {(s, u)|s ⪯1 u} and R2 = {(t, v)|t ⪯1 v} are
both reflexive, antisymmetric and transitive.
Reflexive
Let (s, t) ∈S × T, where s ∈S and t ∈T.
Since R1 = {(s, u)|s ⪯1 u} and R2 = {(t, v)|t ⪯1 v} are both reflexive:
s ⪯1 s
t ⪯2 t
(s, t) ⪯(u, v) if and only if s ⪯1 u and t ⪯2 v
(s, t) ⪯(s, t)
which implies ((s, t), (s, t)) ∈R and thus R is reflexive.
Antisymmetric
Let ((s, t), (u, v)) ∈R and ((u, v), (s, t)) ∈R
(s, t) ⪯(u, v)
(u, v) ⪯(s, t)
2
(s, t) ⪯(u, v) if and only if s ⪯1 u and t ⪯2 v
s ⪯1 u
u ⪯1 s
t ⪯2 v
v ⪯2 t
Since R1 = {(s, u)|s ⪯1 u} and R2 = {(t, v)|t ⪯2 v} are both antisymmetric:
s = u, t = v
which implies:
(s, t) = (u, v)
Thus R is antisymmetric.
Transitive
Let ((s, t), (u, v)) ∈R and ((u, v), (w, x)) ∈R
(s, t) ⪯(u, v)
(u, v) ⪯(w, x)
(s, t) ⪯(u, v) if and only if s ⪯1 u and t ⪯2 v
s ⪯1 u
u ⪯1 w
t ⪯2 v
v ⪯2 x
Since R1 = {(s, u)|s ⪯1 u} and R2 = {(t, v)|t ⪯2 v} are both transitive:
s ⪯1 w
t ⪯2 x
which implies:
(s, t) ⪯(w, x)
Thus R is transitive.
Conclusion: R is reflexive, antisymmetric and transitive. Then R is a partial ordering and (S × T, R) is
a poset.",,,
43,2022,10896,540,Set 10 exercise 7.1,"Hi,

In this exercise, I did :

choose a kind: C(13,1)
take two cards out of that kind: C(4,2)
choose another kind: C(12,1)
take one card: C(4,1)
choose another kind: C(11,1)
take one card: C(4,1)
choose another kind: C(10,1)
take one card: C(4,1)

And multiplied everything together, which is fairly near to the solution. 

The solution takes C(12,3) instead of C(10,1) C(11,1) C(12,1), which I understand why, but I'd like to know why my solution isn't valid.",Exercises,Week 10 : Counting,,2022-11-26T02:04:19.210694+11:00,TRUE,"(Edit: I misread the number of the exercice, now it's the right answer)

The problem is that you actually make a permutation instead of a combination. What you did is C(13,1)•C(12,1)•C(11,1)•C(10,1)•C(4,2)•C(4,1)³ = 13•12•11•10•C(4,2)•C(4,1)³ = P(13,4)•C(4,2)•C(4,1)³. 

The order of the cards in a hand does not matters

You must be really carefull beacause C(n,1)=P(n,1)=n ∀n∈ℕ. Even if you are working with the combination notation, you may in fact be doing a permutation!",198643,2022-11-26T08:41:57.214296+11:00,2,3,English: my + work,10,7,"How many distinct five-card poker hands contain one pair (poker hand of 5 cards containing two cards of the same kind and three cards of three other kinds)?
","(a) We can choose the kind of the pair in our hand in 13 = C(13, 1)
ways. Once we have the kind,
we can choose the suits of the two cards in our pair in C(4, 2)
ways. Now we have to choose the
kinds of the remaining 3 cards (three different kinds, each different than the pair kind). This
can be done in C(12, 3)
ways. For each of the 3 chosen kinds there are 4 suits, so we can choose
the suits in 4 ^ 3 = C(4, 1) ^ 3. Finally, the total number of one-pair hands is 13 * 6 * 220 * 64  = 1098240",How many sets of 10 poker cards contain 3 different pairs(3 pairs of cards of the same kind and 4 cards of 4 other kinds)?,"The number of 10-card poker hands with 3 different pairs and 4 other cards of distinct ranks is:

C(13,3) * [C(4,2)]^3 * C(10,4) * 4^4

Explanation:

C(13,3): choose 3 ranks for the pairs

C(4,2)^3: choose 2 suits for each of the 3 pairs

C(10,4): choose 4 distinct ranks from the remaining 10

4^4: choose 1 suit for each of the 4 singletons"
43,2022,9377,440,Ex 8 week 9,"Hi,

How do you solve the first question without using using the explicit formulas? (I assume that's how it's supposed to be done)

Thanks.",Exercises,Week9 : Recursion,,2022-11-16T02:33:49.996379+11:00,TRUE,"Hello !

Whenever you have to prove a certain property on something that is defined by a recurrence relation, it should always come to mind to try proving it by induction. You can of course use the fact that fn = fn-2 + fn-1.

Was that your question ? If not, please let me know.",491530,2022-11-16T04:23:01.905526+11:00,1,2,Mathematical assumption,9,8,"The Lucas numbers satisfy the recurrence relation
Ln = Ln−1 + Ln−2
and the initial conditions L0 = 2 and L1 = 1.
Show that Ln = fn−1 + fn+1 for n = 2, 3, ..., where fn is the nth Fibonacci number.
Let P(n) be “Ln = fn−1 + fn+1”
Basis step: n = 2 and n = 3
L2 = L1 + L0 = 1 + 2 = 3
f1 + f3 = 1 + (f2 + f1) = 1 + (1 + 1) = 1 + 2 = 3
L3 = L2 + L1 = 3 + 1 = 4
f2 + f4 = (f0 + f1) + (f2 + f3) = (0 + 1) + (1 + 2) = 4
Thus P(2) and P(3) are true.
Inductive step: Let us assume that ∀k ≥3 : P(2), P(3), ..., P(k −1) and P(k) are True.
Lk−1 = fk−2 + fk
Lk = fk−1 + fk+1
We need to prove that P(k + 1) is true:
Lk+1 = Lk + Lk−1","= fk−1 + fk+1 + fk−2 + fk
= (fk−1 + fk−2) + (fk+1 + fk)
= fk + fk+2
Thus P(k + 1) is true.
Conclusion: By the principle of strong induction, P(n) is true for all positive integers n with n ≥2.",,
43,2022,11866,594,Week 11 Exercise 6,"Hi,

I have no idea what I'm supposed to do to solve this.

Thanks.",Exercises,Week 10 : Counting,,2022-12-01T22:04:49.289847+11:00,TRUE,"We find the number of onto functions from A to B (with |A| = m >= |B| = n) by calculating the total number of functions A -> B and subtracting the ones that are not onto.

There are 

$$n^m$$

possibilites for functions A -> B that can or cannot be onto (each value in the domain maps to any value in the codomain).

A function A -> B that is not onto can be created by simply not reaching all values in the codomain. So the function would have to reach any number < n of values in the codomain. That's where the sum comes from: you restrict the codomain to a set with k elements, with k < n. For each k, you have C(n, k) possibilities to actually pick the values in the function's range.

The resulting functions (with the restricted codomain) have to be onto (so you don't count anything twice), so the number of ways to pick them is simply S(m, k). 

Putting everything together, we get that the number of functions that are onto from A to B is equal to

$$S\left(m,\ n\right)\ =\ n^m\ -\ \sum_{k\ =\ 1}^{n\ -\ 1}C\left(n,\ k\right)S\left(m,\ k\right)$$",738658,2022-12-02T01:10:54.184204+11:00,1,2,Mathematical assumption,10,6,"1. The number of distinct triples (x1, x2, x3) of non-negative integers x1, x2, x3 such that x1+x2+x3 =
8 equals
⃝495.
⃝330.
⃝165.
✓45.
2
There are C(n + k −1, k) =
n+k−1
k

ways to select a combination of k objects with replacement
from n objects, so there are C(n + k −1, k) ways to select n non-negative integers x1, x2, . . ., xn
such that Pn
i=1 xi = k. The number of distinct triples (x1, x2, x3) of non-negative integers x1, x2,
x3 such that x1 + x2 + x3 = 8 therefore equals C(3 + 8 −1, 8) = C(10, 8) = 45.","2. The number of distinct triples (x1, x2, x3) of non-negative integers x1, x2, x3 such that x1+x2+x3 ≤
8 equals
⃝495.
⃝330.
✓165.
⃝55.
The number of distinct triples (x1, x2, x3) of non-negative integers x1, x2, x3 such that x1+x2+x3 ≤
8 equals the sum of the number of triples such that x1 + x2 + x3 = k where k goes from 0 to 8.
Using the solution of the previous exercise, this equals P8
k=0 C(3 + k −1, k) = 1 + 3 + 6 + 10 + 15 +
21 + 28 + 36 + 45 = 165.
It is less cumbersome to introduce a slack variable x4 and to observe that the number of distinct
triples (x1, x2, x3) of non-negative integers x1, x2, x3 such that x1 + x2 + x3 ≤8 is the same as
the number of distinct four-tuples (x1, x2, x3, x4) of non-negative integers x1, x2, x3, x4 such that
x1 + x2 + x3 + x4 = 8: the latter number equals C(4 + 8 −1, 8) = C(11, 8) = 165.
3. The number of distinct quadruples (x1, x2, x3, x4) of non-negative integers x1, x2, x3, x4 such that
x1 + x2 + x3 + x4 < 8 equals
⃝495.
✓330.
⃝165.
⃝55.
Since we’re dealing with integers, having x1 +x2 +x3 +x4 < 8 is equivalent to x1 +x2 +x3 +x4 ≤7.
Now we just have to compute the number of distinct non-negative quadruples whose sum is ≤7,
which we do using the method from the previous exercise. The number of solutions is C(5+7−1, 7) =
C(11, 7) = 330.
4. The number of distinct quadruples (x1, x2, x3, x4) of non-negative integers x1, x2, x3, x4 such that
xi ≥i and x1 + x2 + x3 + x4 ≤18 equals
✓495.
⃝330.
⃝165.
⃝55.
We start by introducing new variables yi = xi−i. The question in case is now equivalent to searching
number of distinct non-negative quadruples (y1, y2, y3, y4) such that y1+1+y2+2+y3+3+y4+4 ≤18
since xi = yi+i. This boils down to finding non negative solutions of y1+y2+y3+y4 ≤8, and using
the same reasoning as in",,
43,2022,1332,37,Week 1 Ex 3 - part 3 & 5,"I solved part 3 using part 5, and I solved part 5 using part 3.

I was just wondering if there is a better way to solve either part 3. or part 5. or both?

Because my solutions feel somehow wrong and pretty redundant.

Thank you",Exercises,Week1 : Propositional Logic,,2022-09-25T00:35:23.897313+10:00,TRUE,"Hello!

Indeed I think the best way to solve part 5 is to go through the rules you know + use part 3 which is pretty useful in this case.

However, for part 3 I'm not sure how part 5 is useful. The best thing to do would be to reason the following way:

prove that

Left side = true => Right side = true

Right side = true => Left side = true



which leads to left side <=> right side



let me know if you have any doubts :)",846392,2022-09-25T00:49:33.198696+10:00,0,6,English: my + work; English: I + action,1,3,"4
2
2
Session Exercises",,,
43,2022,14278,682,week 11 ex 5,"Hello,

Can someone please explain why we put n+1+n-1 (in the final combination), aren't we supposed to be choosing from n+1 elements?",Exercises,Week 11 : Advanced Counting,,2022-12-14T08:04:15.743785+11:00,TRUE,"Hi,

It is again a stick-and-stars problem. Where you have n item (the value of your sum) which are your ""stars"" and n+1 variables, so n separator (sticks). From your total element : n + n = 2n, you need to choose n of them to be your stars (or n of them to be your sticks, it's the same). So you have (2n choose n) ways.",370408,2022-12-14T09:11:21.714402+11:00,0,2,Mathematical assumption,11,5,"The number of distinct n-tuples (x0, x1, x2, . . . , xn−1) of integers x0, x1, x2, . . ., xn−1 such
that xi ≥i for 0 ≤i < n and Pn−1
i=0 xi ≤n(n+1)
2
equals","✓
2n
n

.
⃝
2n+1
n

.
⃝
2n−1
n

.
⃝
2n−1
n−1

.
3
With yi = xi −i for 0 ≤i < n, we must count the number of distinct n-tuples (y0, y1, y2, . . . , yn−1) of
integers y0, y1, y2, . . ., yn−1 such that yi ≥0 for 0 ≤i < n and
n−1
X
i=0
yi
=
n−1
X
i=0
(xi −i)
=
n−1
X
i=0
xi −
n−1
X
i=0
i
=
n−1
X
i=0
xi −n(n −1)
2
≤
n(n + 1)
2
−n(n −1)
2
=
n.
The number of non-negative integer solutions (y0, y1, y2, . . . , yn−1) to the inequality Pn−1
i=0 yi ≤n is the
same as the number of non-negative integer solutions (y0, y1, y2, . . . , yn−1, yn) to the equality Pn
i=0 yi = n
(note that introduction of the slack variable yn makes it possible to put the “slack”, i.e., the non-negative
integer value n −Pn−1
i=0 yi, in the variable yn).
To find the number of non-negative integer (n + 1)-tuples (y0, y1, y2, . . . , yn−1, yn) such that Pn
i=0 yi =
n: assume that we have n + 1 distinct types of cookies (with, as usual, an infinite supply of each type
of cookie), that the variables y0, y1, y2, . . . , yn−1, yn count how often the i-th cookie (for 0 ≤i ≤n) is
selected, and that we have to select (a combination of) n cookies, i.e. we have a set of n + 1 items, and
we choose n items with replacement out of that set. This can be done in
n+1+n−1
n

=
2n
n

ways.
It follows that the first answer is correct.",,
43,2022,11445,570,exercise 4.1 week 10,"Hi, 

For exercice 4.1 week 10, I decided to use lecture 10b and the question with the waiting line containing 5 women and 8 men. First of all I put the men (so x1 x2 x3 .... xn) which gives me n factorial possibilities. Secondly, I observed that there were therefore n+1 positions available to fill (before x1, all the options between x1 and xn, and then after xn) which gives me n+1 factorial possibilities. This means that I have P(n,n)*P(n+1,n) overall possibilities, could I get some clarification on why this is wrong?

Thank you for your answer!",Exercises,Week 10 : Counting,,2022-11-29T08:38:43.379189+11:00,TRUE,"Hi, I like your reasoning even though it is wrong:-) Here's why:

You started by considering the men which yields P(n, n) = n! possible permutations.

Then you ""correctly"" pointed out that the women can distribute themselves on the n+1 remaining spots. We can try to visualize this with the example n=3:

_x_x_x_ 

x:=men, _:= possible spot to fill with a woman, y:= women

Since the n women have n+1 places, there's always one spot going to be left free. However, the exercise doesn't allow for the gap to be anywhere else than in the beginning or in the end since otherwise this would break the alternating rhythm between men and women.

yx_xyxy = yxxyxy (not allowed)

P(n+1, n) means that you choose n from the n+1 spots and for every choice of n spots you consider all its permutations. This includes the cases where the n spots chosen DO NOT include some non-border spots.

To get to the right solution you can do the following: There are two types of patterns allowed:

xyxyxy....

or 

yxyxyx....

For both we have (n!)^2 permutations = 2(n!)^2",566222,2022-12-01T04:14:55.305921+11:00,1,2,Mathematical conclusion; Sequential reasoning,10,4,"1. A group contains n men and n women. How many ways are there to arrange these people in a row
if the men and women alternate?
Denote the row of alternating men and women by x1, x2, . . . , x2n and assume that x1 is a man.
Then x1, x3, x5, . . . , x2n−1 consists of just men and x2, x4, x6, . . . , x2n of just women. We have
n! possibilities to arrange each of these two subsequences.
Since we can combine any of these
subsequences for the men together with any subsequence for the women, we get n! · n! possible
arrangements for the row x1, x2, . . . , x2n, if x1 is a man.
We can now do the same under the assumption that x1 is a woman. We again get (n!)2 possible
arrangements. Overall, since we allow x1 to be either a man or a woman, we get (n!)2+(n!)2 = 2(n!)2
possible arrangements.","2. Suppose that a department contains 10 men and 15 women. How many ways are there to form a
committee with six members if it must have the same number of men and women?
If the committee of six members needs to have the same number of men and women, it must
have three men and three women. There are
10
3

= 10·9·8
3·2
= 120 ways to choose three men and
15
3

= 15·14·13
3·2
= 35 · 13 = 455 ways to choose three women in the department. Thus we get overall
10
3
15
3

= 120 · 455 = 54 600
possibilities to form the committee.",,
43,2022,7582,403,serie 7 ex5,Isnt something supposed to be here? Or this sign shouldnt be here? If not what does this expression mean?,Exercises,Week6 : Countability - Algorithms,,2022-11-06T02:37:57.062367+11:00,TRUE,"Hello!

Yes, it's a small typo. It is meant to be $C = (|a_n| + |a_{n-1}| + \cdots + |a_1| + |a_0|)$.

I hope this helps.",588675,2022-11-06T03:44:40.196692+11:00,1,2,Mathematical assumption,6,5,"Let F be the set of real numbers with decimal representation consisting of all fours (and
possibly a single decimal point). Examples of numbers contained in F are 4, 44, 4444444, 44.4, 4.444444,
444.44444, . . . etc.
Let G be the set of real numbers with decimal representation consisting of all fours or sixes (and
possibly a single decimal point). Examples of numbers contained in G are 4, 6, 44, 66, 46, 64, 4464464,
46.46, 6.644464, 646.64646464, 446.6666666, . . . etc.
✓The set F is countable and the set G is not countable.
⃝The sets F and G are both countable.
⃝The set G is countable and the set F is not countable.
⃝The sets F and G are both not countable.","Strategy for F: we are going to show that F is countable by showing it is the union of two countable sets.
Let us denote F∞the set of real numbers with infinitely long decimal representation consisting of all
fours. Let us denote F<∞, the set of real numbers with finitely long decimal representation consisting of
all fours. We have F<∞∪F∞= F (the decimal representation is either finite or infinite), therefore, if
can show that F∞and F<∞are both countable, we will be able to conclude that F is countable.
F∞is countable: Let us denote by ∞4 a sequence of infinitely many fours. For example, 4.4444... = 4.∞4.
We can list every element of F∞in a sequence indexed by the positive integers by counting the number
of fours before the decimal point : a1 = 4.∞4, a2 = 44.∞4, a3 = 444.∞4....
Therefore F∞is countable.
F<∞is countable: We are going to follow a similar strategy as in the previous exercise with B2: we are
going to build an injective function f from F<∞to Z×Z that is going to count the number of fours before
5
the decimal point and the number of fours after the decimal point. For example f(4) = (1, 0), f(4.4) =
(1, 1), f(44.4) = (2, 1). To show that f is injective, we assume that f(a) = f(b) which implies that a and
b have the same number of 4 before and after their decimal point which implies that they are equal. f is
injective, therefore |F<∞| ≤|N × N| and because N × N is countable, we have F<∞countable.
Strategy for G: we are going to show that a subset of G is uncountable. Then, by the theorem that
states that if A is uncountable and A ⊂B, then B is uncountable, we will be able to conclude that G is
uncountable.
Let us consider G∗the subset of G consisting of be the set of real numbers between 4 and 7 with
infinitely long decimal representation consisting of all fours or sixes. For example 4.464644664644... ∈G∗
and 6.66666666... ∈G∗but 44 /∈G∗. We are going to use Cantor Diagonal Argument to show that G∗is
uncountable:
Let us assume that G∗is countable.
Therefore, we can list the elements of G∗in a sequence {an} indexed by the positive integers as follows:
a1 = d11, d12d13...
a2 = d21, d22d23...
a3 = d31, d32d33...
.
.
.
an = dn1, dn2dn3...
.
.
.
If we define the real number r = d1, d2d3... such that di =
(
4
if dii = 6
6
if dii = 4, we have r ̸= ai ∀i ∈Z+.
r is an element of G∗but it is not listed in {an}.
By contradiction, G∗is not countable, therefore it is uncountable.
And because we have G∗⊂G, we can conclude that G is uncountable.
It follows that the first answer must be ticked.",,
